employer,include,canonical_name,sector,notes,matched_searches
A16Z,TRUE,a16z,vc,,a16z
A16Z CRYPTO,TRUE,a16z,vc,,a16z
ANDREESSEN HOROWITZ,TRUE,a16z,vc,,a16z
"ANDREESSEN HOROWITZ, LLC",TRUE,a16z,vc,,a16z
ACCEL,TRUE,accel,vc,,accel
"ALAMEDA COUNTY, AMAZON",TRUE,amazon,tech_giant,,amazon
AMAZON,TRUE,amazon,tech_giant,,amazon
"AMAZON , MGM",TRUE,amazon,tech_giant,,amazon
AMAZON ADVERTISING LLC,TRUE,amazon,tech_giant,,amazon
AMAZON AWS,TRUE,amazon,tech_giant,,amazon
AMAZON BOARD OF DIRECTORS,TRUE,amazon,tech_giant,,amazon
AMAZON COM,TRUE,amazon,tech_giant,,amazon
AMAZON DATA SERVICES,TRUE,amazon,tech_giant,,amazon
"AMAZON DATA SERVICES, INC.",TRUE,amazon,tech_giant,,amazon
"AMAZON DEV CENTER U.S., INC.",TRUE,amazon,tech_giant,,amazon
AMAZON FILMS,TRUE,amazon,tech_giant,,amazon
AMAZON INC,TRUE,amazon,tech_giant,,amazon
AMAZON INC.,TRUE,amazon,tech_giant,,amazon
AMAZON KUIPER MANUFACTURING,TRUE,amazon,tech_giant,,amazon
AMAZON LLC,TRUE,amazon,tech_giant,,amazon
AMAZON MARKEPLACE,TRUE,amazon,tech_giant,,amazon
AMAZON MGM,TRUE,amazon,tech_giant,,amazon
AMAZON MGM STUDIOS,TRUE,amazon,tech_giant,,amazon
AMAZON PAC,TRUE,amazon,tech_giant,pac?,amazon
AMAZON PRIME,TRUE,amazon,tech_giant,,amazon
AMAZON PRIME VIDEO,TRUE,amazon,tech_giant,,amazon
AMAZON PRODUCE NETWORK,TRUE,amazon,tech_giant,,amazon
AMAZON ROBOTICS,TRUE,amazon,tech_giant,,amazon
AMAZON STORES,TRUE,amazon,tech_giant,,amazon
AMAZON STUDIOS,TRUE,amazon,tech_giant,,amazon
AMAZON UK SERVICES LTD.,TRUE,amazon,tech_giant,,amazon
AMAZON WATCH,TRUE,amazon,tech_giant,,amazon
AMAZON WEB SERVICE,TRUE,amazon,tech_giant,,amazon
AMAZON WEB SERVICES,TRUE,amazon,tech_giant,,amazon
AMAZON WEB SERVICES INC,TRUE,amazon,tech_giant,,amazon
AMAZON WEB SERVICES INC.,TRUE,amazon,tech_giant,,amazon
"AMAZON WEB SERVICES, INC.",TRUE,amazon,tech_giant,,amazon
"AMAZON, INC.",TRUE,amazon,tech_giant,,amazon
AMAZON.COM,TRUE,amazon,tech_giant,,amazon
AMAZON.COM INC,TRUE,amazon,tech_giant,,amazon
AMAZON.COM INC.,TRUE,amazon,tech_giant,,amazon
AMAZON.COM LLC,TRUE,amazon,tech_giant,,amazon
AMAZON.COM SERVICES LLC,TRUE,amazon,tech_giant,,amazon
"AMAZON.COM, INC",TRUE,amazon,tech_giant,,amazon
"AMAZON.COM, INC.",TRUE,amazon,tech_giant,,amazon
"AMAZON/EXECUTIVE/SEATTLE, WA",TRUE,amazon,tech_giant,,amazon
AMAZONCOM,TRUE,amazon,tech_giant,,amazon
AMZN,TRUE,amazon,tech_giant,,amazon
AWS,TRUE,amazon,tech_giant,,amazon
