cycle,week_end,recipient_party,net_total,n_contributions,n_donors,n_committees
2024,2021-01-17,D,25,1,1,1
2024,2022-04-10,D,60,1,1,1
2024,2022-06-19,D,250,1,1,1
2024,2022-11-20,D,300,6,1,6
2024,2022-12-18,D,800,7,2,7
2024,2023-01-01,D,1330,9,8,7
2024,2023-01-08,D,7116,88,82,26
2024,2023-01-15,D,38788,116,102,32
2024,2023-01-22,D,62641,90,70,38
2024,2023-01-29,D,40645,96,81,40
2024,2023-02-05,D,2545518,126,112,45
2024,2023-02-12,D,52271,121,103,33
2024,2023-02-19,D,62925,112,86,52
2024,2023-02-26,D,99653,121,99,51
2024,2023-03-05,D,118253,204,174,62
2024,2023-03-12,D,283686,148,130,40
2024,2023-03-19,D,158306,186,148,54
2024,2023-03-26,D,219934,190,150,74
2024,2023-04-02,D,386980,305,241,83
2024,2023-04-09,D,388976,175,157,53
2024,2023-04-16,D,57883,158,137,56
2024,2023-04-23,D,33808,183,153,62
2024,2023-04-30,D,146036,267,215,76
2024,2023-05-07,D,68285,209,189,69
2024,2023-05-14,D,47784,204,174,59
2024,2023-05-21,D,84096,253,212,81
2024,2023-05-28,D,87921,229,188,89
2024,2023-06-04,D,2112902,282,236,92
2024,2023-06-11,D,2292130,245,218,80
2024,2023-06-18,D,797461,238,191,85
2024,2023-06-25,D,383892,264,227,83
2024,2023-07-02,D,236101,453,356,118
2024,2023-07-09,D,88533,340,282,61
2024,2023-07-16,D,156961,354,267,87
2024,2023-07-23,D,113624,386,309,108
2024,2023-07-30,D,82112,413,319,102
2024,2023-08-06,D,97859,399,300,91
2024,2023-08-13,D,55036,330,274,73
2024,2023-08-20,D,655878,435,314,102
2024,2023-08-27,D,98977,347,286,103
2024,2023-09-03,D,379011,471,381,128
2024,2023-09-10,D,84372,401,354,85
2024,2023-09-17,D,77118,412,335,103
2024,2023-09-24,D,153769,493,390,133
2024,2023-10-01,D,483516,727,577,162
2024,2023-10-08,D,88467,405,348,94
2024,2023-10-15,D,176678,428,352,112
2024,2023-10-22,D,596745,483,382,108
2024,2023-10-29,D,127823,534,417,119
2024,2023-11-05,D,130983,574,465,122
2024,2023-11-12,D,965470,519,438,117
