cycle,week_end,net_total,cumulative_net_total,gross_positive,n_contributions,n_donors,n_committees
2024,2021-01-17,25,25,25,1,1,1
2024,2022-04-10,60,85,60,1,1,1
2024,2022-06-19,250,335,250,1,1,1
2024,2022-11-20,300,635,300,6,1,6
2024,2022-12-18,800,1435,800,7,2,7
2024,2023-01-01,1935,3370,1935,14,13,12
2024,2023-01-08,53620,56990,53620,287,274,40
2024,2023-01-15,65665,122655,65665,246,216,49
2024,2023-01-22,107592,230247,107592,285,248,60
2024,2023-01-29,98892,329139,98892,167,149,61
2024,2023-02-05,3660479,3989618,3660479,478,457,76
2024,2023-02-12,324081,4313699,327384,207,173,52
2024,2023-02-19,399116,4712815,399116,480,439,81
2024,2023-02-26,132584,4845399,134285,216,178,83
2024,2023-03-05,278666,5124065,281966,785,701,106
2024,2023-03-12,404662,5528727,404662,254,208,73
2024,2023-03-19,246699,5775426,249999,793,728,88
2024,2023-03-26,434242,6209668,434242,303,209,137
2024,2023-04-02,833381,7043049,836681,1617,1103,149
2024,2023-04-09,776906,7819955,776906,378,305,86
2024,2023-04-16,161062,7981017,167962,939,889,92
2024,2023-04-23,2214849,10195866,2223549,300,249,102
2024,2023-04-30,1429117,11624983,1432417,1307,1219,119
2024,2023-05-07,125153,11750136,126853,335,283,112
2024,2023-05-14,2150678,13900814,2150928,694,630,106
2024,2023-05-21,150931,14051745,151031,1016,925,118
2024,2023-05-28,223590,14275335,225315,1345,1268,133
2024,2023-06-04,2275500,16550835,2280700,1198,1099,141
2024,2023-06-11,2557426,19108261,2564026,862,773,132
2024,2023-06-18,2313173,21421434,2318173,1102,1002,138
2024,2023-06-25,653198,22074632,653398,1435,1368,131
2024,2023-07-02,817853,22892485,817955,1666,1504,179
2024,2023-07-09,138938,23031423,138938,920,818,112
2024,2023-07-16,1240479,24271902,1247149,1172,1053,135
2024,2023-07-23,258978,24530880,272178,1620,1485,165
2024,2023-07-30,158773,24689653,162073,602,474,152
2024,2023-08-06,301166,24990819,304736,2165,1994,142
2024,2023-08-13,164428,25155247,164428,482,389,118
2024,2023-08-20,951669,26106916,954969,2474,2304,162
2024,2023-08-27,171595,26278511,420895,704,523,164
2024,2023-09-03,606166,26884677,606929,2302,2135,195
2024,2023-09-10,432849,27317526,436616,621,541,143
2024,2023-09-17,1584957,28902483,1591557,1978,1832,170
2024,2023-09-24,1904392,30806875,1912292,749,601,207
2024,2023-10-01,968515,31775390,1093411,3402,3108,268
2024,2023-10-08,648370,32423760,678120,704,585,154
2024,2023-10-15,398074,32821834,418978,2161,2025,168
2024,2023-10-22,1278586,34100420,1285686,744,601,177
2024,2023-10-29,371438,34471858,379421,2908,2681,182
2024,2023-11-05,341031,34812889,355839,2278,2033,190
2024,2023-11-12,1418269,36231158,1418469,1540,1397,181
2024,2023-11-19,752193,36983351,765459,2291,2086,190
2024,2023-11-26,833879,37817230,840617,2890,2703,178
2024,2023-12-03,455905,38273135,474105,3065,2793,209
2024,2023-12-10,327601,38600736,331016,1784,1598,195
2024,2023-12-17,1597544,40198280,1607573,2332,2089,200
2024,2023-12-24,2007956,42206236,2013314,3939,3655,249
2024,2023-12-31,3430329,45636565,3440429,3273,2962,229
2024,2024-01-07,180194,45816759,183494,504,434,112
2024,2024-01-14,1299958,47116717,1300823,446,347,114
2024,2024-01-21,274180,47390897,282080,638,515,138
2024,2024-01-28,2341954,49732851,2341954,547,417,146
2024,2024-02-04,400308,50133159,409438,984,814,175
2024,2024-02-11,1145142,51278301,1151142,618,406,181
2024,2024-02-18,973929,52252230,974379,885,718,168
2024,2024-02-25,989599,53241829,989666,648,483,166
2024,2024-03-03,1019227,54261056,1071328,1370,1104,217
2024,2024-03-10,870017,55131073,898354,873,669,175
2024,2024-03-17,988825,56119898,998460,1283,1077,199
2024,2024-03-24,6787559,62907457,7058959,767,533,177
2024,2024-03-31,586076,63493533,611537,1903,1552,231
2024,2024-04-07,5514264,69007797,5520164,706,524,171
2024,2024-04-14,1392784,70400581,1396916,978,811,169
2024,2024-04-21,1010779,71411360,1020679,1129,941,196
