state_code,candidate_count,major_party_candidate_count,house_candidate_count,senate_candidate_count,total_itemized_receipts,tech_itemized_receipts,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,dem_tech_itemized_receipts,rep_tech_itemized_receipts,ie_net_support,tech_funded_ie_net_support,house_district_count,major_party_house_district_count,has_senate_race,top_candidate_name,top_candidate_party,top_candidate_tech_itemized_receipts,pct_dem,pct_rep,party_label
CA,372,333,368,4,63586668,1421401,58735,63224,15765,15134,1352727,48657,-4489,631,52,52,1,"KHANNA, ROHIT",D,389888,96.52793238684045,3.4720676131595622,D
AK,12,10,6,6,55442898,1122461,23518,15475,2000,15475,1000,1121461,8043,-13475,1,1,1,"SULLIVAN, DAN",R,1121461,0.08908995501848171,99.91091004498152,R
NY,188,164,185,3,45883301,890431,94196,1677056,7273,1425,865868,22800,-1582860,5848,26,26,1,"BORES, ALEXANDER",D,365150,97.43436243906612,2.565637560933892,D
IL,184,164,152,32,48600298,432991,22020434,9969145,3603193,0,399891,29600,12051289,3603193,17,17,1,"KRISHNAMOORTHI, S",D,128526,93.1081210083564,6.891878991643596,D
TX,384,348,349,35,56886425,391830,20996199,24084624,6517386,18318030,272337,118218,-3088425,-11800644,38,38,1,"TALARICO, JAMES",D,84968,69.73076775358145,30.26923224641856,Mixed
MI,108,96,90,18,30663843,330079,925950,15758,200,8407,281177,48902,910192,-8207,13,13,1,"EL-SAYED, ABDUL",D,92206,85.18475880016602,14.815241199833979,D
FL,271,243,237,34,28120038,317269,2537130,128851,101976,5136,232352,84917,2408279,96840,28,28,1,"MUJICA, HECTOR DANIEL",D,75830,73.23501508183907,26.764984918160927,D
CO,90,74,70,20,15747665,260106,118587,60445,5421,52548,248926,11180,58142,-47127,8,8,1,"RUTINEL, MANNY",D,112425,95.70175236249837,4.298247637501634,D
VA,115,101,103,12,18641105,194391,3011519,18011,251937,0,167021,27370,2993508,251937,11,11,1,"WARNER, MARK ROBERT",D,52700,85.92013004717298,14.079869952827034,D
MA,51,42,42,9,12215149,193211,90,0,0,0,168945,10629,90,0,9,9,1,"AUCHINCLOSS, JAKE",D,46622,94.08099168031006,5.919008319689933,D
WA,54,42,53,1,7946965,182250,216,0,100,0,155750,5800,216,100,10,10,1,"SMITH, D. ADAM",D,43200,96.4097802537914,3.590219746208604,D
NJ,116,102,103,13,20470850,176794,2662729,2466659,408993,2328434,173940,2854,196070,-1919441,12,12,1,"BOOKER, CORY A.",D,32411,98.38569182212066,1.6143081778793398,D
GA,163,152,143,20,30984838,169505,2584370,388621,22442,213598,110355,59150,2195749,-191156,14,14,1,"OSSOFF, T. JONATHAN",D,91535,65.10427421020029,34.895725789799705,Mixed
MN,67,34,50,17,16032001,162521,661582,0,3961,0,31620,78695,661582,3961,8,8,1,"EMMER, THOMAS EARL JR.",R,77113,28.663373068032456,71.33662693196754,R
KY,72,64,50,22,16787750,158213,2916737,6876288,16334,-1860,18550,138663,-3959551,18194,6,6,1,"GUTHRIE, S. BRETT BRETT HON.",R,96500,11.79927868560488,88.20072131439512,R
NC,122,99,98,24,23170808,156449,4570181,273498,799402,205827,93533,62666,4296683,593575,14,14,1,"DAVIS, DON",D,24050,59.880665049072014,40.11933495092798,Mixed
IA,50,46,38,12,15253620,150207,961784,38743,895908,31110,103167,47040,923041,864798,4,4,1,"BOHANNAN, CHRISTINA",D,26250,68.68321716031875,31.316782839681238,Mixed
OH,104,89,89,15,16833964,137562,625350,30899,332252,20897,41415,96147,594451,311355,15,15,1,"HUSTED, JON",R,45283,30.106424739390235,69.89357526060977,Mixed
PA,106,95,101,5,16507733,131347,155351,48456,57493,33781,98277,33070,106895,23712,17,17,1,"THOMPSON, GLENN MR.",R,16700,74.82241695661112,25.177583043388886,D
NH,31,29,20,11,11288044,117390,269556,0,0,0,117390,0,269556,0,2,2,1,"SULLIVAN, MAURA CORBY",D,38500,100.0,0.0,D
MO,55,53,55,0,7696229,102600,17375,-20909,17375,-22643,13750,88850,38284,40018,8,8,0,"SMITH, JASON T",R,79750,13.401559454191034,86.59844054580897,R
SD,12,10,8,4,3165509,95727,0,0,0,0,400,94327,0,0,1,1,1,"ROUNDS, MIKE",R,81043,0.4222660909772293,99.57773390902277,R
LA,57,56,34,23,16843472,82864,552,2062,552,0,500,82364,-1510,552,6,6,1,"SCALISE, STEVE MR",R,58325,0.6033983394477699,99.39660166055224,R
WI,53,49,53,0,6899124,77661,1226608,30160,313,5687,25130,52531,1196448,-5374,8,8,0,"STEIL, BRYAN GEORGE",R,38600,32.35858410270277,67.64141589729724,Mixed
ME,32,28,15,17,10970302,66555,788699,189,233475,47,63823,2732,788510,233428,2,2,1,"PLATNER, GRAHAM",D,28272,95.89512433325821,4.104875666741792,D
AZ,86,74,85,1,14836694,59270,568956,55430,505657,22148,36370,22900,513526,483509,9,9,1,"TREBLE, JONATHAN",D,12826,61.36325291040999,38.63674708959001,Mixed
NV,56,53,56,0,4203203,58715,69130,0,0,0,54699,4016,69130,0,4,4,0,"HORSFORD, STEVEN ALEXZANDER",D,30000,93.16018053308353,6.8398194669164605,D
DE,9,8,4,5,3313846,54700,10,0,0,0,54700,0,10,0,1,1,1,"MCBRIDE, SARAH ELIZABETH",D,37800,100.0,0.0,D
DC,24,22,24,0,1515198,54536,0,0,0,0,54536,0,0,0,1,1,0,"ZALESNE, KINNEY",D,45050,100.0,0.0,D
NE,28,22,20,8,6546616,52251,276533,22012,112,12013,27600,12900,254521,-11901,3,3,1,"OSBORN, DAN",,11751,68.14814814814815,31.851851851851855,Mixed
TN,66,50,56,10,10746847,52237,3784052,3572595,1361553,1711341,14517,37720,211457,-349788,9,9,1,"HAGERTY, BILL",R,23620,27.790646476635334,72.20935352336465,R
MT,25,20,13,12,5208942,39167,0,0,0,0,2267,36900,0,0,2,2,1,"ZINKE, RYAN K",R,18850,5.788035846503433,94.21196415349657,R
NM,17,14,10,7,3718802,38550,485,0,0,0,38550,0,485,0,3,3,1,"LUJAN, BEN RAY",D,28550,100.0,0.0,D
OK,50,45,33,17,3208890,36105,229,0,229,0,105,36000,229,229,5,5,1,"COLE, TOM",R,29000,0.29081844619858743,99.7091815538014,R
AR,23,21,14,9,5901390,32212,1008855,75500,0,0,2512,29700,933355,0,4,4,1,"HILL, JAMES FRENCH",R,8500,7.7983360238420465,92.20166397615796,R
UT,48,36,48,0,3885758,28353,22804,0,22804,0,18853,9500,22804,22804,4,4,0,"MCADAMS, BEN",D,11388,66.49384544845343,33.50615455154657,Mixed
RI,13,8,7,6,2401861,28170,0,0,0,0,28170,0,0,0,2,2,1,"AMO, GABRIEL F",D,12670,100.0,0.0,D
CT,32,31,32,0,3489055,24750,580,0,450,0,24750,0,580,450,5,5,0,"HIMES, JIM",D,12000,100.0,0.0,D
AL,46,46,32,14,7461131,23100,5623877,0,25344,0,3000,20100,5623877,25344,7,7,1,"ROGERS, MICHAEL",R,9750,12.987012987012985,87.01298701298701,R
IN,72,66,65,7,3477788,21067,69,0,16,0,6926,14141,69,16,9,9,1,"STUTZMAN, MARLIN A",R,8641,32.87606208762519,67.12393791237481,Mixed
HI,9,8,9,0,1003518,21000,0,0,0,0,21000,0,0,0,2,2,0,"TOKUDA, JILL NAOMI",D,14000,100.0,0.0,D
SC,69,56,47,22,6042508,20554,362127,0,462,0,9951,10603,362127,462,7,7,1,"GRAHAM, LINDSEY O.",R,7003,48.413934027439915,51.58606597256008,Mixed
OR,37,35,31,6,4392998,19560,540,0,0,0,16060,3500,540,0,6,6,1,"BYNUM, JANELLE",D,10965,82.10633946830266,17.893660531697343,D
ID,24,17,16,8,2445222,16598,196,0,196,0,0,7000,196,196,2,2,1,"SIMPSON, MICHAEL",R,7000,0.0,100.0,R
MS,28,22,20,8,4055593,15250,46675,23250,0,0,2250,12750,23425,0,4,4,1,"GUEST, MICHAEL PATRICK",R,5750,15.0,85.0,R
WY,16,15,10,6,635959,14000,126100,0,0,0,0,14000,126100,0,1,1,1,"LUMMIS, CYNTHIA MARIE MRS.",R,14000,0.0,100.0,R
MD,65,63,64,1,5377831,13624,14249,684,1844,0,13624,0,13565,1844,8,8,1,"RASKIN, JAMIE",D,10204,100.0,0.0,D
WV,25,22,15,10,2116202,10275,123134,0,0,0,650,9625,123134,0,2,2,1,"MOORE, RILEY",R,4500,6.326034063260341,93.67396593673966,R
KS,31,29,21,10,3431895,9120,139674,0,0,0,2120,7000,139674,0,4,4,1,"ESTES, RON",R,3500,23.24561403508772,76.75438596491229,R
ND,6,6,6,0,201221,4500,0,0,0,0,0,4500,0,0,1,1,0,"FEDORCHAK, JULIE",R,4500,0.0,100.0,R
VT,3,2,3,0,273159,4100,0,0,0,0,4100,0,0,0,1,1,0,"BALINT, REBECCA 'BECCA'",D,4100,100.0,0.0,D
