cycle,week_end,tech_canonical_name,company_slug,net_total,cumulative_net_total,gross_positive,n_contributions,n_donors
2026,2025-01-26,a16z,a16z,1000,1000,1000,1,1
2026,2025-02-09,a16z,a16z,1000000,1001000,1000000,2,2
2026,2025-02-23,a16z,a16z,231667,1232667,231667,28,8
2026,2025-03-02,a16z,a16z,16000,1248667,16000,12,3
2026,2025-03-16,a16z,a16z,500,1249167,500,1,1
2026,2025-03-30,a16z,a16z,243333,1492500,246833,37,7
2026,2025-04-06,a16z,a16z,5012000,6504500,5012000,3,3
2026,2025-04-13,a16z,a16z,5000,6509500,5000,1,1
2026,2025-04-20,a16z,a16z,500,6510000,500,1,1
2026,2025-04-27,a16z,a16z,14000,6524000,14000,4,2
2026,2025-05-04,a16z,a16z,10000,6534000,10000,2,2
2026,2025-05-18,a16z,a16z,22500,6556500,22500,4,2
2026,2025-05-25,a16z,a16z,329000,6885500,329000,9,4
2026,2025-06-08,a16z,a16z,500,6886000,500,1,1
2026,2025-06-29,a16z,a16z,26834,6912834,26834,9,5
2026,2025-07-06,a16z,a16z,17500,6930334,17500,7,5
2026,2025-08-03,a16z,a16z,3000,6933334,3000,1,1
2026,2025-08-24,a16z,a16z,25000000,31933334,25000000,2,2
2026,2025-09-14,a16z,a16z,3500,31936834,3500,1,1
2026,2025-09-21,a16z,a16z,102335,32039169,102335,13,6
2026,2025-09-28,a16z,a16z,334499,32373668,337999,75,7
2026,2025-10-05,a16z,a16z,250000,32623668,250000,1,1
2026,2025-11-09,a16z,a16z,67750,32691418,67750,16,6
2026,2025-11-23,a16z,a16z,104033,32795451,107533,22,7
2026,2025-11-30,a16z,a16z,92666,32888117,99666,21,6
2026,2025-12-07,a16z,a16z,5250,32893367,5250,2,2
2026,2025-12-21,a16z,a16z,31000,32924367,31000,9,5
2026,2026-02-01,a16z,a16z,19000,32943367,19000,6,3
2026,2026-02-08,a16z,a16z,12000,32955367,12000,3,2
2026,2026-03-01,a16z,a16z,211800,33167167,211800,12,7
2026,2025-03-30,accel,accel,14000,14000,14000,4,2
2026,2025-04-20,accel,accel,5000,19000,5000,1,1
2026,2025-05-04,accel,accel,12000,31000,12000,1,1
2026,2025-05-11,accel,accel,12500,43500,12500,3,3
2026,2025-07-06,accel,accel,0,43500,0,1,1
2026,2025-07-13,accel,accel,0,43500,0,1,1
2026,2025-07-20,accel,accel,0,43500,0,2,1
2026,2025-07-27,accel,accel,20,43520,20,5,1
2026,2025-08-03,accel,accel,0,43520,0,6,1
2026,2025-08-10,accel,accel,0,43520,0,5,1
2026,2025-08-17,accel,accel,0,43520,0,4,1
2026,2025-08-24,accel,accel,0,43520,0,1,1
2026,2025-08-31,accel,accel,0,43520,0,2,1
2026,2025-09-07,accel,accel,9,43529,9,2,1
2026,2025-09-28,accel,accel,0,43529,0,4,1
2026,2025-10-05,accel,accel,0,43529,0,2,1
2026,2025-10-12,accel,accel,1000,44529,1000,4,2
2026,2025-10-19,accel,accel,0,44529,0,1,1
2026,2025-10-26,accel,accel,0,44529,0,2,1
2026,2025-11-16,accel,accel,0,44529,0,4,1
2026,2025-11-23,accel,accel,15,44544,15,2,1
2026,2025-11-30,accel,accel,7000,51544,7000,3,2
2026,2025-12-07,accel,accel,5000,56544,5000,3,2
2026,2025-12-21,accel,accel,12,56556,12,3,1
2026,2025-12-28,accel,accel,5,56561,5,1,1
2026,2026-01-04,accel,accel,0,56561,0,1,1
2026,2026-02-08,accel,accel,7000,63561,7000,2,1
2026,2026-03-08,accel,accel,9,63570,9,1,1
2026,2023-03-26,amazon,amazon,3300,3300,3300,1,1
2026,2024-12-29,amazon,amazon,150,3450,150,2,2
2026,2025-01-05,amazon,amazon,2451,5901,2501,53,26
2026,2025-01-12,amazon,amazon,1784,7685,1784,68,24
2026,2025-01-19,amazon,amazon,10144,17829,10145,121,41
2026,2025-01-26,amazon,amazon,9412,27241,9412,84,32
2026,2025-02-02,amazon,amazon,33662,60903,33662,189,141
2026,2025-02-09,amazon,amazon,6774,67677,6982,74,42
2026,2025-02-16,amazon,amazon,12570,80247,12570,105,54
2026,2025-02-23,amazon,amazon,11634,91881,11634,98,47
2026,2025-03-02,amazon,amazon,38676,130557,38676,268,166
2026,2025-03-09,amazon,amazon,9500,140057,9500,111,49
2026,2025-03-16,amazon,amazon,15863,155920,15863,159,104
2026,2025-03-23,amazon,amazon,11987,167907,11987,114,53
2026,2025-03-30,amazon,amazon,94354,262261,94354,178,108
2026,2025-04-06,amazon,amazon,52206,314467,52206,327,274
2026,2025-04-13,amazon,amazon,15698,330165,15698,134,93
2026,2025-04-20,amazon,amazon,5884,336049,5884,90,44
2026,2025-04-27,amazon,amazon,20038,356087,20038,183,120
2026,2025-05-04,amazon,amazon,47381,403468,47381,360,272
2026,2025-05-11,amazon,amazon,11023,414491,11023,184,132
2026,2025-05-18,amazon,amazon,13573,428064,13573,82,50
2026,2025-05-25,amazon,amazon,17667,445731,17667,191,139
2026,2025-06-01,amazon,amazon,47314,493045,47314,348,297
2026,2025-06-08,amazon,amazon,9842,502887,9842,178,132
2026,2025-06-15,amazon,amazon,65964,568851,65964,125,56
2026,2025-06-22,amazon,amazon,19246,588097,19246,219,160
2026,2025-06-29,amazon,amazon,24106,612203,24106,141,64
2026,2025-07-06,amazon,amazon,75603,687806,75603,594,515
2026,2025-07-13,amazon,amazon,11546,699352,11546,115,63
2026,2025-07-20,amazon,amazon,18580,717932,18580,216,171
2026,2025-07-27,amazon,amazon,13466,731398,13466,125,64
2026,2025-08-03,amazon,amazon,52821,784219,52821,529,492
2026,2025-08-10,amazon,amazon,9617,793836,9617,109,78
2026,2025-08-17,amazon,amazon,21415,815251,23182,230,165
2026,2025-08-24,amazon,amazon,12170,827421,12388,127,68
2026,2025-08-31,amazon,amazon,59196,886617,59231,569,540
2026,2025-09-07,amazon,amazon,7731,894348,7731,118,92
2026,2025-09-14,amazon,amazon,21732,916080,21732,230,210
2026,2025-09-21,amazon,amazon,29941,946021,29941,111,80
2026,2025-09-28,amazon,amazon,41692,987713,43192,293,243
2026,2025-10-05,amazon,amazon,81109,1068822,81109,663,609
2026,2025-10-12,amazon,amazon,19184,1088006,19184,287,248
2026,2025-10-19,amazon,amazon,15466,1103472,15466,154,85
2026,2025-10-26,amazon,amazon,42485,1145957,42533,308,245
2026,2025-11-02,amazon,amazon,60006,1205963,60106,659,590
2026,2025-11-09,amazon,amazon,21298,1227261,21490,392,262
2026,2025-11-16,amazon,amazon,37443,1264704,37443,194,78
