cycle,week_end,recipient_bucket,net_total,n_contributions,n_donors,n_committees
2026,2023-03-05,candidate,3300,1,1,1
2026,2023-03-12,candidate,3300,1,1,1
2026,2023-03-26,candidate,6600,2,2,1
2026,2023-04-16,candidate,3100,5,5,1
2026,2023-04-23,candidate,3800,2,2,1
2026,2023-05-07,candidate,5300,2,2,1
2026,2023-05-28,candidate,4000,3,3,1
2026,2023-06-11,candidate,2100,4,4,1
2026,2023-06-18,candidate,4550,4,4,1
2026,2023-06-25,candidate,7600,3,3,1
2026,2023-07-02,candidate,9700,4,4,1
2026,2025-01-05,candidate,2088,16,15,12
2026,2025-01-12,candidate,9299,47,38,23
2026,2025-01-19,candidate,36170,69,51,29
2026,2025-01-26,candidate,32601,78,58,28
2026,2025-02-02,candidate,89243,126,101,36
2026,2025-02-09,candidate,34426,90,76,34
2026,2025-02-16,candidate,69303,113,81,46
2026,2025-02-23,candidate,98516,137,113,50
2026,2025-03-02,candidate,190716,198,131,81
2026,2025-03-09,candidate,102093,117,90,52
2026,2025-03-16,candidate,127391,152,100,66
2026,2025-03-23,candidate,223601,191,128,74
2026,2025-03-30,candidate,444032,290,180,95
2026,2025-04-06,candidate,215581,216,161,73
2026,2025-04-13,candidate,29815,105,87,47
2026,2025-04-20,candidate,51641,143,114,48
2026,2025-04-27,candidate,86624,148,112,67
2026,2025-05-04,candidate,41889,148,133,61
2026,2025-05-11,candidate,52391,117,100,56
2026,2025-05-18,candidate,124564,120,81,47
2026,2025-05-25,candidate,53692,140,107,68
2026,2025-06-01,candidate,131400,167,136,79
2026,2025-06-08,candidate,88627,118,103,56
2026,2025-06-15,candidate,98887,177,139,88
2026,2025-06-22,candidate,88751,164,140,71
2026,2025-06-29,candidate,220256,217,170,94
2026,2025-07-06,candidate,268698,279,206,118
2026,2025-07-13,candidate,63464,162,124,67
2026,2025-07-20,candidate,109598,175,146,62
2026,2025-07-27,candidate,128839,197,152,79
2026,2025-08-03,candidate,62550,198,160,72
2026,2025-08-10,candidate,72489,143,118,66
2026,2025-08-17,candidate,68853,148,109,71
2026,2025-08-24,candidate,60294,183,154,77
2026,2025-08-31,candidate,135900,214,167,96
2026,2025-09-07,candidate,108668,176,148,70
2026,2025-09-14,candidate,142525,234,190,98
2026,2025-09-21,candidate,181700,239,198,112
2026,2025-09-28,candidate,223513,327,248,143
2026,2025-10-05,candidate,261796,379,309,139
2026,2025-10-12,candidate,108575,226,172,89
2026,2025-10-19,candidate,119755,248,210,91
2026,2025-10-26,candidate,511806,387,273,87
2026,2025-11-02,candidate,162033,305,255,97
2026,2025-11-09,candidate,172630,256,209,99
